Location,Price,Commission,TVA,Currency,Rooms,Size,Floor,Composition
Iris,107500,,False,True,1, 38, 5/6, Semidec
Intre Lacuri,200000,,False,True,2, 57.15, 3/10, Semidec
Europa,210000,Comision 0%,False,True,3, 72, 1/4, Semidec
Semicentral,135000,,False,True,2, 48, 3/4, Semidec
Someseni,109500,,False,True,2, 47, 1/4, Semidec
Iris,239000,Comision 0%,False,True,3, 68.5, 3/3, Semidec
Marasti,188999,,False,True,3, 71, 1/6, Dec
Marasti,126500,Comision 0%,False,True,2, 49.1, 8/9, Semidec
Marasti,130000,,False,True,2, 40, 5/7, Semidec
Gheorgheni,185000,,False,True,3, 61, 1/4, Dec
Central,185000,,False,True,2, 55, 5/6, Semidec
Gruia,112000,,False,True,2, 47, Parter/4, Dec
Gheorgheni,153000,,False,True,2, 47, 9/11, Dec
Intre Lacuri,125000,,False,True,2, 49.5, 4/4, Dec
Central,169900,,False,True,2, 64, 4/4, Dec
Buna Ziua,255000,,False,True,3, 77, 1/10, Dec
Manastur,179000,,False,True,4, 80, 2/4, Dec
Borhanci,225000,,False,True,3, 80, 2/3, Semidec
Central,175000,,False,True,3, 55, 1/2, Dec
Gheorgheni,107000,,False,True,2, 44, 2/10, Semidec
Sopor,159900,,False,True,2, 55, Parter/8, Semidec
Zorilor,155000,,False,True,2, 47, Parter/3, Semidec
Andrei Muresanu,165000,,False,True,2, 53, 3/7, Dec
Manastur,170000,,False,True,3, 82, Parter/10, Dec
Gheorgheni,108000,,False,True,2, 44, 2/8, Semidec
Marasti,189000,,False,True,3, 68, 3/4, Dec
Iris,107900,,False,True,1, 39, 3/5, Dec
Gheorgheni,139999,,False,True,2, 52, 2, Dec
Central,108000,,False,True,2, 33, Parter, Semidec
Marasti,100900,,False,True,2, 48, 1/6, Semidec
Marasti,95245,,True,True,2, 44.3, 3/5, Dec
Central,237000,,False,True,2, 60, 1/5, Semidec
Central,245000,,False,True,2, 89, 1/2, Dec
Marasti,75900,,False,True,1, 32, 4/4, Semidec
Intre Lacuri,128000,,False,True,2, 51, 4/4, Dec
Zorilor,142000,,False,True,2, 54, 2/8, Dec
Marasti,220000,,False,True,3, 76, 4/4, Dec
Grigorescu,250000,Comision 0%,False,True,3, 86, 1/6, Semidec
Gheorgheni,185000,,False,True,3, 60, Parter/8, Semidec
Marasti,135000,,False,True,3, 65, 4/4, Dec
Zorilor,136000,,False,True,2, 50, 4/4, Dec
Manastur,218000,,False,True,3, 75, 6/8, Semidec
Gheorgheni,184700,Comision 0%,True,True,3, 69.69, 1/7, Semidec
Central,120000,Comision 0%,False,True,2, 38, Parter/1, Semidec
Andrei Muresanu,164990,,False,True,2, 54, 3/4, Dec
Manastur,78000,,False,True,1, 32, 9/10, Dec
Marasti,107000,,False,True,2, 50, 10/10, Dec
Central,455000,Comision 0%,False,True,3, 127, 3/3, Dec
Marasti,65000,Comision 0%,False,True,1, 24, 4/4, Semidec
Marasti,239900,,False,True,3, 95, 1/3, Dec
Marasti,64900,,False,True,1, 21, 4/4, Dec
Gheorgheni,135900,,False,True,2, 54, 1/8, Semidec
Gheorgheni,88700,Comision 0%,True,True,1, 37.26, 3/7, Dec
Buna Ziua,129000,,False,True,2, 50, 2/5, Semidec
Manastur,184900,,False,True,3, 87, 3/10, Dec
Marasti,107800,Comision 0%,False,True,2, 47, 2/4, Dec
Marasti,136900,,False,True,2, 57, 2/5, Dec
Borhanci,164900,Comision 0%,False,True,2, 67, 2/8, Dec
Exterior Vest,89000,,False,True,3, 63, Parter/3, Dec
Marasti,167000,Comision 0%,False,True,2, 56, 6/8, Dec
Grigorescu,115000,,False,True,2, 48.94, 4/10, Dec
Gruia,85000,Comision 0%,False,True,1, 37, 3/3, Dec
Manastur,134000,,False,True,3, 51, 3/4, Semidec
Zorilor,79500,,False,True,1, 26, Parter/2, Semidec
Gheorgheni,140000,,False,True,2, 50, 9/10, Semidec
Manastur,98000,,False,True,2, 57, Parter/4, Dec
Buna Ziua,190000,Comision 0%,False,True,2, 58, 3/5, Semidec
Manastur,69000,,False,True,1, 26, 8/8, Dec
Gheorgheni,144000,,False,True,2, 55, 2/7, Semidec
Manastur,86000,,False,True,1, 40, 5/5, Dec
Buna Ziua,196000,,False,True,3, 64.27, 2/3, Semidec
Marasti,155900,,False,True,2, 50.4, 6/6, Semidec
Manastur,89900,,False,True,2, 39.8, 4/4, Semidec
Marasti,143000,,False,True,2, 56, 8/8, Semidec
Ultracentral,260000,,False,True,3, 82, 4/4, Semidec
Gheorgheni,114000,,False,True,1, 37.39, 5/7, Semidec
Borhanci,106000,Comision 0%,False,True,1, 37.65, Parter/2, Dec
Marasti,133300,,False,True,2, 62, 4/5, Dec
Marasti,133300,,False,True,2, 62, 2/5, Semidec
Zorilor,189500,,False,True,2, 54, 7/14, Semidec
Gheorgheni,37500,,False,True,1, 11, 3/4, Semidec
Marasti,132544,,False,True,1, 41, 3/4, Semidec
Central,239000,,False,True,2, 52, 2/3, Dec
Grigorescu,245000,,False,True,2, 65, 2/4, Semidec
Gheorgheni,100522,,False,True,1, 40, 4/7, Semidec
Marasti,48000,,False,True,1, 18.5, Parter/4, Semidec
Gheorgheni,114000,,False,True,2, 38.23, 2/7, Semidec
Manastur,255000,,False,True,4, 160, 2/2, Semidec
Marasti,129216,,False,True,1, 40, 1/4, Semidec
Semicentral,209000,,False,True,2, 58, 14/22, Semidec
Buna Ziua,129000,,False,True,2, 41, Parter/3, Semidec
Gheorgheni,104670,,False,True,1, 37, 1/6, Dec
Calea Turzii,169999,,False,True,2, 64, 4/4, Semidec
Gheorgheni,161300,,False,True,2, 59, 1/7, Semidec
Semicentral,220000,,False,True,3, 64, 2/5, Semidec
Marasti,275000,,False,True,3, 75, 4/7, Dec
Calea Turzii,210000,,False,True,3, 76.7, 3/3, Semidec
Manastur,85000,,False,True,2, 36, 4/4, Semidec
Ultracentral,98000,,False,True,1, 25, 1/2, Dec
Gheorgheni,135000,,False,True,2, 55, 1/6, Semidec
Marasti,129216,,False,True,1, 40, 2/4, Semidec
Grigorescu,145000,,False,True,2, 46, 9/10, Semidec
Marasti,122500,,False,True,2, 55.32, Parter/1, Dec
Marasti,139000,,False,True,3, 62, 1/4, Semidec
Calea Turzii,178000,,False,True,2, 74, 4/4, Semidec
Marasti,119900,,False,True,2, 50, 8/8, Dec
Gheorgheni,140000,,False,True,2, 53, 6/7, Semidec
Europa,199000,Comision 0%,False,True,3, 82, 6/6, Dec
Gheorgheni,106000,,False,True,1, 41, 4/7, Dec
Zorilor,179999,,False,True,4, 98, 4/4, Dec
Grigorescu,136500,,False,True,2, 56, 7/10, Dec
Central,165000,,False,True,2, 38, Parter/4, Semidec
Semicentral,107500,,False,True,1, 38, 5/6, Semidec
Zorilor,235000,,False,True,4, 81.03, 3/4, Semidec
Grigorescu,199000,Comision 0%,False,True,2, 51.5, Parter, Semidec
Gheorgheni,145000,,False,True,2, 42.61, 10/10, Semidec
Marasti,172825,,False,True,2, 55, 4/4, Dec
Semicentral,219700,,False,True,3, 77, 6/6, Semidec
Semicentral,183875,Comision 0%,True,True,3, 68.83, 5/6, Semidec
Gheorgheni,150000,,False,True,2, 57, 3/3, Dec
Intre Lacuri,99900,,False,True,1, 41, Demisol/4, Dec
Grigorescu,248960,,False,True,3, 77.8, 1/4, Semidec
Grigorescu,240000,,False,True,3, 65, 1/3, Semidec
Semicentral,89900,,False,True,1, 35, Parter/1, Dec
Marasti,178000,,False,True,3, 73, 5/6, Semidec
Semicentral,159400,,False,True,2, 55, 6/6, Semidec
Zorilor,226000,,False,True,3, 75, 5/10, Dec
Gruia,60000,,False,True,1, 25, 4/4, Nedec
Grigorescu,145000,,False,True,2, 50, 7/10, Dec
Buna Ziua,204900,,False,True,3, 82, 2/5, Dec
Marasti,119584,,False,True,1, 37, Parter/4, Semidec
Semicentral,158675,Comision 0%,True,True,2, 52.67, 6/6, Semidec
Manastur,150000,,False,True,3, 65, 4/4, Semidec
Dambul Rotund,105000,,False,True,2, 44, 5/6, Semidec
Central,175000,,False,True,2, 64, Parter/1, Semidec
Semicentral,151100,,False,True,2, 53, 6/6, Semidec
Semicentral,151000,,False,True,2, 66, Parter/6, Semidec
Zorilor,175000,,False,True,2, 58, 13/14, Dec
Semicentral,125700,,False,True,1, 40, 6/6, Semidec
Central,140400,,False,True,2, 53, Parter/7, Semidec
Semicentral,158300,,False,True,2, 53, 6/6, Semidec
Gheorgheni,180000,,False,True,2, 58.88, 6/7, Semidec
Dambul Rotund,110000,,False,True,2, 45, 5/6, Semidec
Zorilor,150000,,False,True,2, 55, 4/4, Dec
Manastur,167000,,False,True,2, 52, 1/10, Dec
Zorilor,90325,,False,True,2, 38.15, Parter/4, Dec
Iris,150000,,False,True,3, 63, 1/4, Semidec
Zorilor,179900,,False,True,4, 87, 4/4, Dec
Andrei Muresanu,170800,,True,True,2, 61, 1/4, Dec
Semicentral,147200,,False,True,2, 56, Parter/6, Semidec
Central,248000,,False,True,2, 56, 1/3, Dec
Gheorgheni,75000,,False,True,2, 27, 3/4, Semidec
Marasti,163000,,False,True,3, 64, Parter/4, Dec
Semicentral,146700,,False,True,2, 56, 3/6, Semidec
Marasti,139000,,False,True,3, 63, 1/4, Semidec
Zorilor,145000,,False,True,2, 53, 4/4, Dec
Semicentral,143000,,False,True,2, 58, 3/6, Semidec
Central,153900,,False,True,2, 51, 6/7, Semidec
Semicentral,135700,,False,True,2, 52, Parter/6, Semidec
Zorilor,179999,,False,True,3, 64, 2/4, Dec
Buna Ziua,176000,,False,True,2, 56, 5/7, Semidec
Iris,115000,Comision 0%,False,True,2, 48, Parter/2, Dec
Semicentral,133700,,False,True,2, 59, Parter/6, Semidec
Gara,228000,,False,True,4, 84.09, Parter/6, Semidec
Central,170000,,False,True,3, 60, 4/4, Semidec
Semicentral,137600,Comision 0%,True,True,2, 52.91, Parter/6, Semidec
Iris,165000,,False,True,3, 63, 6/10, Semidec
Gheorgheni,249000,,False,True,4, 80, 2/4, Dec
Central,310000,,False,True,3, 90, 1/3, Dec
Central,238000,,False,True,2, 60, 1/1, Dec
Central,183000,,False,True,2, 58, 12/23, Semidec
Gheorgheni,210000,,False,True,2, 57, 3/9, Semidec
Gara,115257,,False,True,1, 38, 1/6, Semidec
Buna Ziua,390000,,False,True,3, 113, 5/6, Semidec
Andrei Muresanu,176000,,False,True,2, 63.23, 4/4, Semidec
Dambul Rotund,144000,,False,True,2, 61, 5/6, Semidec
Iris,231500,,False,True,4, 99.78, 6/7, Semidec
Grigorescu,206560,,False,True,3, 64.55, 1/4, Semidec
Iris,224500,,False,True,4, 99.91, 9/9, Semidec
Aurel Vlaicu,130000,,False,True,2, 55, 8/9, Dec
Iris,172000,,False,True,3, 76.61, 1/9, Semidec
Iris,165500,,False,True,3, 73.64, 1/9, Semidec
Dambul Rotund,144000,,False,True,2, 61, 5/6, Semidec
Marasti,395000,,False,True,3, 80, 1/4, Semidec
Iris,181000,,False,True,3, 80.68, 1/9, Semidec
Sopor,173000,,False,True,2, 60, 3/10, Semidec
Grigorescu,125000,,False,True,2, 43, 2/4, Semidec
Marasti,239000,,False,True,3, 68, 4/4, Dec
Manastur,118000,Comision 0%,False,True,2, 45, 3/3, Semidec
Iris,220000,,False,True,4, 94.21, 6/7, Semidec
Marasti,150000,,False,True,2, 64, 3/7, Dec
Zorilor,140000,,False,True,3, 65, 4/4, Dec
Iris,224500,,False,True,4, 99.91, 7/9, Semidec
Iris,136773,,False,True,3, 75.15, 1/3, Semidec
Gheorgheni,104900,,False,True,2, 44, Parter/10, Semidec
Iris,123200,,False,True,3, 88, Parter/2, Dec
Manastur,249000,,False,True,2, 49, 13/25, Semidec
Grigorescu,154000,,False,True,3, 64, 4/4, Semidec
Marasti,300000,,False,True,3, 77, 2/11, Semidec
Zorilor,150000,,False,True,3, 52, Parter/3, Semidec
Gheorgheni,184500,,False,True,3, 74, 1, Dec
Zorilor,188000,Comision 0%,True,True,3, 70, 14/14, Dec
Zorilor,139000,,False,True,3, 66, 4/4, Dec
Iris,176000,,False,True,3, 78.36, 7/9, Semidec
Dambul Rotund,123000,,False,True,2, 48, 6/6, Semidec
Gara,151800,,False,True,2, 69, 3/6, Semidec
