Location,Price,Commission,TVA,Currency,Rooms,Size,Floor,Composition
Marasti,219000,,False,True,3, 70, 3/4, Semidec
Central,409000,,False,True,3, 178, 1/2, Semidec
Europa,253000,,False,True,4, 103, Parter/1, Dec
Gheorgheni,180000,,False,True,3, 62, 3/4, Dec
Gheorgheni,185000,Comision 0%,False,True,3, 62, 3/4, Dec
Borhanci,275000,,False,True,3, 110, 1/2, Semidec
Iris,70000,,False,True,1, 29, 2/4, Dec
Gheorgheni,180000,,False,True,3, 62, 3/4, Dec
Gheorgheni,180000,,False,True,3, 62, 3/4, Dec
Manastur,93000,,False,True,2, 36, 3/4, Semidec
Marasti,195000,,False,True,3, 65, 9/9, Semidec
Gheorgheni,137500,,False,True,2, 48, 6/9, Semidec
Gheorgheni,199999,,False,True,2, 55, 7/10, Semidec
Dambul Rotund,125000,,False,True,2, 57, 4/6, Semidec
Marasti,61000,,False,True,1, 24, 4/4, Semidec
Dambul Rotund,119000,,False,True,2, 48, 6/6, Semidec
Campului,210000,,False,True,3, 99, 1/2, Dec
Central,225000,,False,True,2, 57, 1/1, Semidec
Gheorgheni,130000,,False,True,2, 46, Parter/4, Semidec
Buna Ziua,155000,,False,True,2, 51.67, 1/5, Semidec
Intre Lacuri,215000,,False,True,3, 67, 4/10, Semidec
Manastur,140000,,False,True,3, 63.8, Parter/4, Dec
Dambul Rotund,310000,,False,True,4, 142, 1/2, Dec
Intre Lacuri,144990,,False,True,3, 65, 4/4, Dec
Manastur,145000,,False,True,3, 64, 1/4, Dec
Manastur,95000,,False,True,2, 40, 4/4, Dec
Iris,165500,,True,True,3, 73.64, 1/9, Semidec
Buna Ziua,159000,,False,True,2, 52, 1/10, Semidec
Buna Ziua,253000,,False,True,3, 89, Parter/2, Dec
Marasti,176871,,False,True,2, 61, Parter/4, Semidec
Zorilor,175000,Comision 0%,False,True,4, 76, 3/4, Dec
Zorilor,220000,,False,True,3, 80, 9/10, Dec
Someseni,134000,,False,True,2, 57, 2/5, Dec
Grigorescu,114000,,False,True,2, 50, 10/10, Dec
Gara,95800,Comision 0%,True,True,1, 40.55, 2/6, Semidec
Borhanci,187475,,False,True,3, 83.34, 3/3, Semidec
Marasti,170000,,False,True,3, 65, 4/4, Dec
Marasti,169999,,False,True,3, 64, 4/4, Dec
Marasti,170000,,False,True,3, 65, 4/4, Dec
Marasti,170000,,False,True,3, 65, 4/4, Dec
Marasti,169999,,False,True,3, 65, 4/4, Dec
Marasti,170000,,False,True,3, 65, 4/4, Dec
Marasti,170000,Comision 0%,False,True,3, 65, 4/4, Dec
Andrei Muresanu,245000,,False,True,3, 89, Parter/2, Semidec
Manastur,99999,,False,True,1, 40, Parter/8, Dec
Manastur,124500,,False,True,2, 50, 4/4, Semidec
Iris,130000,,False,True,2, 57, 1/9, Dec
Borhanci,168000,,False,True,2, 55, 1/2, Dec
Manastur,92900,,False,True,2, 35, 3/4, Semidec
Buna Ziua,153000,,False,True,2, 52, 1/6, Semidec
Europa,168000,,False,True,2, 56, Parter/2, Dec
Gheorgheni,165000,,False,True,3, 65, 4/4, Dec
Sopor,179000,,False,True,2, 52, 4/10, Semidec
Manastur,100000,,False,True,1, 40, Parter/10, Dec
Buna Ziua,134900,,False,True,2, 50, Parter/3, Semidec
Buna Ziua,255000,,False,True,3, 77, 1/10, Semidec
Iris,226000,,False,True,2, 81, 1/1, Dec
Gheorgheni,160000,,False,True,2, 61, 8/8, Dec
Manastur,119000,,False,True,2, 45, 10/10, Semidec
Plopilor,173000,,False,True,2, 58, 2/6, Semidec
Marasti,180000,,False,True,3, 64, 2/4, Semidec
Manastur,139000,,False,True,2, 52, 2/10, Dec
Zorilor,189000,,False,True,3, 58, 8/14, Semidec
Semicentral,119000,,False,True,1, 40, 6/6, Semidec
Iris,45000,,False,True,1, 22, 4/4, Semidec
Sopor,180000,,False,True,2, 52, 4/10, Semidec
Manastur,130000,,False,True,1, 40.77, Parter, Dec
Dambul Rotund,122000,,False,True,2, 44, Parter/6, Semidec
Semicentral,115247,,True,True,2, 44.37, 1/7, Semidec
P-ta Mihai Viteazul,239000,,False,True,3, 50, 2/7, Dec
Gheorgheni,165000,,False,True,3, 65, 4/4, Dec
Zorilor,220000,,False,True,3, 81, 9/10, Dec
Zorilor,220000,,False,True,3, 81, 9/10, Dec
Gheorgheni,119990,Comision 0%,False,True,2, 49, Parter/4, Semidec
Manastur,134990,,False,True,3, 66, 4/4, Dec
Manastur,139000,,False,True,2, 52, 1/8, Dec
Marasti,179000,,False,True,2, 59, 2/3, Semidec
Zorilor,140000,,False,True,2, 45, 1/4, Dec
Dambul Rotund,213000,,False,True,4, 108, Parter/3, Dec
Gheorgheni,365000,,True,True,4, 112, 6/7, Semidec
Manastur,94000,,False,True,2, 37, 1/4, Dec
Gheorgheni,180000,,False,True,3, 62, 3/4, Dec
Zorilor,149000,,False,True,2, 55, 4/4, Dec
Buna Ziua,140000,Comision 0%,False,True,2, 43, 2/2, Semidec
Europa,204000,,False,True,2, 68, 3/3, Semidec
Dambul Rotund,125000,,False,True,2, 57, 4/6, Semidec
Dambul Rotund,125000,,False,True,2, 57, 4/6, Semidec
Dambul Rotund,125000,,False,True,2, 57, 4/6, Semidec
Grigorescu,238900,,False,True,3, 78, 2/2, Semidec
Grigorescu,120000,,False,True,2, 52, Parter/4, Dec
Buna Ziua,155000,,False,True,2, 52, 1/6, Semidec
Marasti,115000,,False,True,1, 36, 8/8, Dec
Hasdeu,299000,,False,True,3, 82, 2/4, Semidec
Central,235000,,False,True,2, 46, 1/4, Dec
Dambul Rotund,117000,,False,True,2, 45, 5/6, Semidec
Marasti,165500,,True,True,3, 73.64, 2/9, Semidec
Iris,165500,,True,True,3, 73.64, 4/9, Dec
Iris,265000,,False,True,3, 70, 5/6, Semidec
Central,499000,,False,True,6, 145, 1/1, Dec
Manastur,158000,,False,True,4, 76, 8/8, Dec
Manastur,94500,,False,True,2, 33, 3, Semidec
Gheorgheni,103000,,False,True,1, 32, 1/7, Dec
Dambul Rotund,105000,,False,True,2, 40, 1/2, Dec
Manastur,118000,,False,True,2, 45, 4/8, Dec
Zorilor,169000,,False,True,3, 80, Ultimele 2 e/4, Semidec
Grigorescu,125000,,False,True,2, 47, 3/4, Semidec
Marasti,183000,,False,True,3, 73, 6/7, Dec
Manastur,155000,,False,True,3, 65, 4/4, Dec
Gheorgheni,178500,,False,True,2, 51, 1/10, Semidec
Marasti,170000,,False,True,3, 64.5, 4/4, Dec
Marasti,170000,,False,True,3, 65, 4/4, Dec
Marasti,170000,Comision 0%,False,True,3, 65, 4/4, Dec
Marasti,170000,,False,True,3, 65, 4/4, Dec
Gheorgheni,160000,,True,True,2, 58, 2/5, Semidec
Central,128500,,False,True,1, 47, 5/10, Semidec
Marasti,107000,,False,True,1, 40, 4/4, Dec
Iris,195000,,False,True,5, 135, 2/2, Semidec
Central,128000,,False,True,2, 49, 3/4, Dec
Iris,119999,Comision 0%,True,True,2, 55.04, 4/4, Semidec
Manastur,137500,,False,True,2, 50, Parter/2, Semidec
Europa,204000,,False,True,2, 68, 3/4, Semidec
Central,100000,,False,True,1, 30, 2/2, Dec
Manastur,119000,,False,True,2, 51, 3/10, Dec
Borhanci,180651,,False,True,3, 78.63, 3/3, Semidec
Dambul Rotund,116500,,False,True,3, 48.66, Parter/3, Semidec
Intre Lacuri,108000,,False,True,2, 53, 2/6, Semidec
Marasti,178000,,False,True,2, 52, 1/4, Dec
Plopilor,164000,,False,True,2, 50, 2/4, Semidec
Gheorgheni,180000,,False,True,2, 52.5, 4/10, Semidec
Cordos,110000,,False,True,3, 50, Mansarda/2, Semidec
Manastur,95500,,False,True,2, 33.5, 2/4, Semidec
Plopilor,193000,Comision 0%,False,True,2, 54, Parter/3, Dec
Manastur,89000,,False,True,2, 37, Parter/6, Dec
P-ta Mihai Viteazul,339000,,False,True,2, 90, 1/1, Dec
Iris,47000,,False,True,1, 22, 3/4, Dec
Gheorgheni,450000,,False,True,4, 85, 2/2, Semidec
Grigorescu,250000,,False,True,4, 79, 2/4, Dec
Marasti,170000,,False,True,2, 58.8, 2/3, Semidec
Marasti,180000,,False,True,3, 72, 6/7, Dec
Andrei Muresanu,260000,,False,True,3, 93, 5/5, Dec
Central,118000,,False,True,1, 38, 2/2, Dec
Central,180000,,False,True,2, 59, 6/23, Semidec
Central,180000,,False,True,2, 60, 6/23, Semidec
Manastur,116000,,False,True,2, 42, 10/10, Dec
Europa,165000,,False,True,3, 63.03, Parter/4, Dec
Gheorgheni,180000,,False,True,3, 62, 3/4, Dec
Dambul Rotund,186000,,False,True,3, 92, 1/7, Semidec
Dambul Rotund,133000,,False,True,2, 48, 6/6, Semidec
Dambul Rotund,133000,,False,True,2, 48, 6/6, Semidec
Sopor,360000,,True,True,4, 120, 6/7, Semidec
Zorilor,126000,,False,True,1, 37, 2/5, Dec
Manastur,156000,,False,True,3, 61, 2/9, Dec
Manastur,152980,,False,True,3, 65.45, 4/4, Dec
Zorilor,140000,,False,True,2, 55, Parter/2, Semidec
Manastur,97000,,False,True,2, 36, Parter/4, Semidec
Dambul Rotund,89000,,False,True,2, 48.12, Parter/6, Semidec
Dambul Rotund,125000,,False,True,2, 57, 4/6, Semidec
Cordos,125000,,False,True,2, 57, 4/6, Semidec
Dambul Rotund,95000,,False,True,2, 42.5, 6/6, Semidec
Marasti,185000,,False,True,3, 72, 6/7, Dec
Marasti,51000,,False,True,1, 18, Parter/4, Dec
Iris,150000,,False,True,2, 53.2, 1/5, Semidec
Buna Ziua,155000,,False,True,2, 52, 1/6, Semidec
Sopor,200000,,False,True,2, 55, 7/10, Semidec
Iris,115000,,False,True,2, 44, 3/4, Semidec
Dambul Rotund,117000,,False,True,2, 41.5, 5/6, Semidec
Dambul Rotund,118000,,False,True,2, 48, 6/6, Semidec
Marasti,149000,,False,True,2, 54, Parter/4, Semidec
Dambul Rotund,115000,,False,True,1, 37, 1/7, Semidec
Zorilor,189000,Comision 0%,False,True,2, 60, 7/14, Dec
Zorilor,159000,,False,True,3, 65, Parter/10, Dec
Zorilor,207150,,False,True,3, 100, 2/4, Semidec
Manastur,94900,,False,True,1, 35, 2/4, Dec
Manastur,157999,,False,True,4, 76, 8/8, Dec
Manastur,158000,,False,True,4, 74, 8/8, Dec
Campului,158000,,False,True,4, 75, 8/8, Dec
Manastur,143000,,False,True,3, 67, Parter/4, Dec
Manastur,143000,,False,True,3, 67, Parter/4, Dec
Manastur,143000,,False,True,3, 67, Parter/4, Dec
Zorilor,175000,,False,True,2, 58, 1/3, Semidec
Marasti,122000,,False,True,1, 36, 8/8, Dec
Gruia,84000,,False,True,1, 40, 2/4, Dec
Marasti,199000,,False,True,2, 71, 1/6, Semidec
Manastur,165000,,False,True,4, 78, 4/4, Semidec
Marasti,210000,,False,True,2, 57, 3/10, Dec
Grigorescu,132000,,False,True,2, 50, 4/10, Dec
Grigorescu,138000,,False,True,3, 65, Parter/4, Dec
Central,299900,,False,True,2, 58, 1/4, Semidec
Iris,114500,Comision 0%,False,True,2, 65, 1/2, Dec
Marasti,168000,,False,True,3, 65, 4/4, Dec
Marasti,170000,,False,True,3, 65, Parter/4, Dec
Dambul Rotund,112000,,False,True,2, 45, 5/6, Dec
Manastur,100000,,False,True,1, 40, Parter/10, Semidec
Grigorescu,159000,,False,True,3, 66, 9/9, Dec
Dambul Rotund,110000,,False,True,2, 45, 5/6, Semidec
Manastur,128000,Comision 0%,False,True,2, 45, 7/10, Semidec
Grigorescu,650000,,False,True,4, 130, Mansarda/2, Dec
Central,150000,,False,True,2, 48, 4/4, Semidec
Dambul Rotund,107800,,False,True,2, 50.28, Parter/6, Semidec
Central,162000,,False,True,2, 54, 3/6, Semidec
Ultracentral,177000,,False,True,3, 93, Demisol, Dec
Borhanci,154000,,False,True,2, 56, 1/3, Dec
Horea,115000,Comision 0%,False,True,2, 47, 4/4, Semidec
Iris,164990,,False,True,3, 63, 1/3, Dec
Borhanci,129300,,True,True,2, 53.74, 3/3, Semidec
Manastur,105000,,False,True,2, 54, 11/11, Semidec
Manastur,105000,,False,True,2, 46.8, 11/11, Semidec
Intre Lacuri,165000,,False,True,3, 64, Parter/4, Dec
Gruia,34900,,False,True,1, 11, 1/4, Semidec
Ultracentral,95000,,False,True,2, 55, Demisol/6, Semidec
Marasti,180880,,False,True,3, 80.4, 4/10, Dec
Marasti,95000,,False,True,2, 55, Demisol, Dec
Semicentral,155000,,False,True,2, 60, 2/6, Semidec
Gheorgheni,150000,,False,True,3, 64, 4/4, Dec
Andrei Muresanu,265000,Comision 0%,False,True,3, 89, Parter/3, Semidec
Andrei Muresanu,265000,,False,True,3, 89, Parter/4, Semidec
Manastur,121000,,False,True,2, 60, 4/4, Semidec
Iris,97500,,False,True,1, 39, Parter/4, Dec
Intre Lacuri,113830,Comision 0%,True,True,2, 53.91, 2/6, Semidec
Grigorescu,575000,,False,True,5, 200, 1/2, Semidec
Manastur,177000,,False,True,3, 80, 8/8, Dec
Manastur,105000,,False,True,2, 52, 10/10, Dec
Marasti,123000,,False,True,3, 65, 4/4, Dec
Zorilor,224000,,False,True,3, 75, 5/8, Dec
Marasti,178000,,False,True,2, 50, 1/4, Dec
Central,125000,,False,True,3, 75, Demisol/1, Semidec
Marasti,115000,,False,True,2, 41.5, Parter/10, Semidec
Central,135000,,False,True,1, 24, Parter/1, Semidec
Grigorescu,245000,,False,True,4, 96, 3/4, Dec
Semicentral,228000,Comision 0%,True,True,3, 84.88, Parter/6, Semidec
Central,145000,,False,True,2, 46, 2/3, Semidec
Intre Lacuri,143000,,False,True,2, 51, 4/4, Dec
Gheorgheni,125900,,False,True,2, 45, Parter/10, Semidec
Gheorgheni,167000,,False,True,3, 54, Mansarda/5, Semidec
Manastur,150000,,False,True,2, 62, Parter/5, Dec
Manastur,115980,,False,True,2, 52, 3/8, Circular]
Sopor,185000,,False,True,3, 74, 1/8, Semidec
Central,390000,,False,True,4, 128.6, 1/1, Dec
Gheorgheni,180000,,False,True,3, 62, 3/4, Dec
Dambul Rotund,125000,,False,True,2, 48, 6/6, Semidec
Central,100000,,False,True,1, 30, 2/2, Dec
Gheorgheni,129000,,False,True,2, 45, 3/4, Semidec
Manastur,156000,,False,True,3, 61, 2/9, Dec
Dambul Rotund,95000,,False,True,3, 48, 4/4, Semidec
Manastur,97000,Comision 0%,False,True,3, 43, Parter/4, Semidec
Dambul Rotund,129000,,False,True,2, 48, 6/6, Semidec
Andrei Muresanu,245000,,False,True,3, 91, Parter/2, Semidec
Dambul Rotund,119000,,False,True,2, 48, 6/6, Semidec
Manastur,165000,,False,True,4, 73, 3/4, Semidec
Gruia,53000,,False,True,1, 26, Parter, Semidec
Dambul Rotund,116990,,False,True,2, 45, 4/5, Semidec
Zorilor,150000,,False,True,3, 108, 3/4, Dec
Borhanci,183291,,True,True,3, 79.59, 3/3, Semidec
Dambul Rotund,75000,,False,True,2, 38.8, Parter/6, Semidec
Borhanci,150000,,False,True,2, 56, Parter/3, Semidec
Manastur,252000,,False,True,4, 83, 5/10, Semidec
Manastur,143000,,False,True,3, 67, Parter/4, Dec
Manastur,122000,,False,True,2, 52, 3/10, Dec
Marasti,115000,,False,True,1, 36, 8/8, Dec
Manastur,169000,,False,True,3, 64, 3/4, Semidec
Manastur,165000,,False,True,4, 73, 3/4, Semidec
Intre Lacuri,159877,,True,True,3, 65.6, 1/6, Semidec
Manastur,155000,,False,True,3, 65, 4/4, Dec
Manastur,154000,,False,True,3, 61, 2/8, Dec
Iris,159000,,False,True,2, 55, 2/8, Semidec
Europa,220000,,False,True,3, 72, 1/3, Dec
Manastur,125000,,False,True,2, 45, 3/10, Dec
Manastur,125000,,False,True,2, 45, 3/8, Dec
Manastur,126000,,False,True,2, 50, 5/10, Dec
Gheorgheni,135000,,False,True,2, 43, 8/10, Semidec
Gheorgheni,135000,,False,True,2, 42, 8/10, Semidec
Zorilor,220000,,False,True,3, 100, 1/4, Dec
Zorilor,220000,,False,True,3, 100, 1/4, Dec
Aurel Vlaicu,127000,,False,True,2, 52, Parter/4, Semidec
Gheorgheni,154000,,False,True,3, 63, Parter/4, Nedec
Manastur,122500,,False,True,2, 48, 9/10, Semidec
Gheorgheni,299000,,False,True,3, 114, 1/8, Dec
Semicentral,130760,Comision 0%,True,True,1, 46.7, 5/6, Semidec
Central,145000,,False,True,1, 39, 1/3, Semidec
Semicentral,150000,,False,True,2, 59.85, 8/22, Semidec
Grigorescu,170669,,False,True,3, 60, 9/9, Semidec
Bulgaria,275000,,False,True,3, 122, 2/7, Semidec
Dambul Rotund,135000,,False,True,2, 47, 1/5, Semidec
Grigorescu,231500,,False,True,3, 85.74, 2/3, Semidec
Central,128000,,False,True,2, 49, 1/4, Dec
Marasti,64500,,False,True,1, 22, 1/4, Semidec
Gheorgheni,185000,,False,True,3, 74, 1/7, Semidec
Sopor,185000,,False,True,3, 74, 1/7, Dec
Sopor,190000,,False,True,2, 80, 2/4, Semidec
Manastur,105000,,False,True,2, 52, 11/11, Semidec
Gheorgheni,169000,,False,True,2, 60, 8/8, Dec
Central,199000,,False,True,2, 70, 1/6, Semidec
Manastur,128000,,False,True,2, 49, 7/10, Semidec
Marasti,137000,,False,True,2, 40, 5/6, Semidec
Grigorescu,670000,,False,True,4, 130, 2/2, Semidec
Manastur,72900,,False,True,1, 27, Parter/8, Dec
Andrei Muresanu,265000,,False,True,3, 89, Parter, Dec
Marasti,178000,,False,True,2, 54, 1/4, Dec
Iris,231500,,False,True,4, 99.78, 7/9, Semidec
Iris,110000,,False,True,2, 38.8, 3/6, Dec
Zorilor,169000,,False,True,3, 80, 2/3, Semidec
Iris,225000,,False,True,5, 120, Parter/1, Semidec
Sopor,365000,Comision 0%,False,True,4, 111.5, 6/7, Semidec
Gheorgheni,179000,,True,True,3, 66, 6/7, Semidec
Marasti,165000,,False,True,3, 64, Parter/4, Dec
Zorilor,219000,,False,True,3, 67, 2/4, Dec
Intre Lacuri,169000,,False,True,2, 54, 6/7, Dec
Marasti,115000,,False,True,2, 42, Parter/10, Semidec
Marasti,164400,,False,True,2, 54.8, 6/6, Semidec
Marasti,163230,,False,True,2, 54.41, 6/6, Semidec
Central,119000,,False,True,1, 38, 2/2, Semidec
Gheorgheni,130000,,False,True,2, 42, 8/10, Semidec
Marasti,270000,,False,True,3, 88.32, Parter/2, Semidec
Manastur,118000,,False,True,2, 48, 9/10, Semidec
Buna Ziua,255000,,False,True,3, 110, 1/3, Dec
Manastur,90000,,False,True,2, 35, 3/4, Semidec
Semicentral,150900,,False,True,2, 66, 3/6, Semidec
Zorilor,125000,,False,True,1, 37, 2/4, Dec
Marasti,282500,,False,True,3, 75, 4/6, Semidec
Gheorgheni,125000,,False,True,2, 50.82, Parter/4, Semidec
Europa,135000,Comision 0%,False,True,1, 54, Parter/5, Semidec
Ultracentral,240000,,False,True,2, 81, 1/2, Semidec
Europa,148000,,False,True,2, 58, 3/5, Dec
Zorilor,205000,,False,True,3, 63, Parter/4, Dec
Manastur,99750,,False,True,2, 35, Parter/8, Dec
Manastur,97000,,False,True,3, 43, Parter/4, Semidec
Manastur,120000,,False,True,2, 52, 10/10, Dec
Grigorescu,198720,,False,True,3, 69, 1/10, Semidec
Zorilor,149000,Comision 0%,False,True,3, 68, Parter/4, Dec
Iris,165500,,True,True,3, 73.64, 5/9, Dec
Buna Ziua,205000,,False,True,3, 110, 1/3, Dec
Iris,80000,,False,True,2, 56, Parter/2, Semidec
Central,345000,,False,True,3, 81, 1/4, Dec
Marasti,142000,,False,True,2, 44, 4/4, Dec
Intre Lacuri,127000,,False,True,2, 49.5, 4/4, Dec
Gara,119000,,False,True,3, 54, 1/5, Dec
Iris,165000,,False,True,3, 63, 6/9, Semidec
Iris,165000,,False,True,3, 79, Mansarda/7, Semidec
Iris,164999,,False,True,3, 63, 6/9, Semidec
Aurel Vlaicu,245000,,False,True,3, 95, 1/3, Semidec
Manastur,94980,,False,True,2, 50, Parter/3, Semidec
Gheorgheni,239000,,False,True,3, 60, 5/7, Dec
Zorilor,152000,,False,True,3, 63, 7/8, Dec
Zorilor,200000,,False,True,3, 64, 3/4, Dec
Borhanci,245000,,False,True,3, 70, 2/2, Dec
Zorilor,160000,,False,True,2, 56, 1/4, Dec
Manastur,79000,,False,True,2, 36, 4/4, Semidec
Manastur,155000,,False,True,3, 64.5, Parter/4, Dec
Manastur,155000,,False,True,3, 70, 4/4, Dec
Central,178000,,False,True,2, 50, 1/4, Semidec
Manastur,99900,,False,True,2, 38, Parter/8, Semidec
Zorilor,235000,,False,True,3, 98, 3/4, Dec
Manastur,259000,,False,True,4, 80, 8/9, Dec
Buna Ziua,244000,Comision 0%,False,True,3, 88.3, 1/3, Semidec
Gheorgheni,135000,,False,True,2, 42, 8/10, Semidec
Gheorgheni,135000,,False,True,2, 43, 8/10, Semidec
Gheorgheni,135000,,False,True,2, 44, Parter/10, Semidec
Dambul Rotund,85300,,False,True,2, 46.11, 2/2, Semidec
Intre Lacuri,150000,,False,True,2, 57, 3/3, Dec
Plopilor,205000,,False,True,2, 51, 1, Dec
Manastur,110900,,False,True,2, 55, 5/8, Semidec
Grigorescu,170600,,False,True,3, 60, 9/9, Semidec
Dambul Rotund,108260,,False,True,2, 54.13, Parter/5, Semidec
Gruia,85000,,False,True,1, 37, 3/3, Dec
Intre Lacuri,110000,,False,True,2, 54.5, Parter/4, Dec
Gheorgheni,190000,,False,True,2, 80, 2/4, Semidec
Semicentral,98086,,True,True,1, 37.14, 1/7, Semidec
Manastur,205000,,False,True,4, 100, 1/8, Dec
Gheorgheni,102600,,False,True,1, 40, 3/7, Semidec
Gheorgheni,230000,,False,True,3, 67, 2/10, Dec
Central,380000,,False,True,4, 85, Parter/3, Semidec
Iris,54000,,False,True,1, 21, 1/4, Dec
Manastur,69000,,False,True,1, 28.8, 1/10, Semidec
Intre Lacuri,199000,,False,True,3, 66, 6/6, Dec
Manastur,203000,,False,True,3, 65, 7/10, Semidec
Gheorgheni,153000,,False,True,2, 46, 9/11, Dec
Intre Lacuri,127575,Comision 0%,True,True,2, 58, 3/6, Dec
Iris,99000,,False,True,2, 42, 2/6, Semidec
Semicentral,147000,,False,True,2, 66, 2/6, Semidec
Manastur,230000,,False,True,3, 78, 3/3, Semidec
Central,129500,,True,True,1, 37, 2/5, Semidec
Andrei Muresanu,244000,,False,True,3, 89, Parter/3, Semidec
Manastur,120000,,False,True,2, 47, Parter, Dec
Gruia,112900,,False,True,2, 49, 3/3, Dec
Manastur,109000,,False,True,3, 48, 4/4, Semidec
Intre Lacuri,169000,,False,True,3, 70, Parter/4, Dec
Semicentral,137300,,False,True,2, 59, Parter/6, Semidec
Manastur,99750,,False,True,2, 35, Parter/8, Semidec
Gheorgheni,365000,,False,True,4, 112, 6/7, Dec
Dambul Rotund,130000,,False,True,2, 48, 6/6, Semidec
Semicentral,145700,,False,True,2, 60, 3/6, Semidec
Gheorgheni,165000,,False,True,2, 52, 2/4, Semidec
Cordos,133000,,False,True,2, 48, 6/6, Dec
Dambul Rotund,133000,,False,True,2, 48, 6/6, Semidec
Borhanci,189000,,True,True,3, 79, 3/3, Semidec
Manastur,115000,,False,True,2, 49, 10/10, Dec
Borhanci,105000,,False,True,1, 35, 1/4, Semidec
Borhanci,245000,,False,True,3, 70, 2/2, Dec
Manastur,170000,Comision 0%,False,True,3, 76.31, 3/3, Semidec
Grigorescu,143000,,False,True,2, 50, 10/10, Circular]
Grigorescu,239000,,False,True,3, 78, 2/2, Semidec
Semicentral,140000,,False,True,2, 47, 4/4, Dec
Manastur,147500,,False,True,3, 62, 1/4, Semidec
Marasti,62000,,False,True,1, 23, 4/4, Semidec
Semicentral,110000,,False,True,1, 45, Parter/1, Nedec
Manastur,99000,,False,True,3, 43, Parter/4, Semidec
Manastur,246000,,False,True,4, 83, 5/9, Dec
Gheorgheni,185000,,False,True,3, 74, 1/6, Semidec
Manastur,210000,,False,True,4, 94, 1/8, Dec
Semicentral,140875,Comision 0%,True,True,2, 51.94, 5/6, Semidec
Borhanci,173000,,False,True,3, 61, 1/4, Semidec
Semicentral,325000,Comision 0%,False,True,3, 154, 2/3, Dec
Gheorgheni,77000,,False,True,1, 27.5, 4/4, Dec
Borhanci,195000,,False,True,3, 61, Parter/3, Semidec
Marasti,145000,,False,True,3, 65, 8/8, Semidec
Iris,165000,,False,True,3, 63, 6, Semidec
Iris,165000,,False,True,3, 90, 7/7, Dec
Grigorescu,115000,,False,True,2, 48, 4/4, Dec
Gheorgheni,200000,,False,True,3, 67, 3/7, Semidec
Intre Lacuri,161155,Comision 0%,True,True,3, 75, 2/6, Dec
Manastur,93000,,False,True,2, 35, 3/4, Semidec
Grigorescu,114000,,False,True,2, 50, 10/10, Dec
Central,137500,,False,True,2, 50, Demisol/3, Semidec
Manastur,99900,,False,True,1, 31, Parter/8, Dec
Iris,169000,,False,True,2, 50, 4/4, Semidec
Semicentral,144400,,False,True,2, 66, 1/6, Semidec
Borhanci,168000,,False,True,2, 55, 1/2, Dec
Manastur,136000,Comision 0%,False,True,3, 63, Parter/4, Dec
Gheorgheni,135000,,False,True,2, 43, 8/8, Dec
Gheorgheni,135000,,False,True,2, 45, 8/10, Semidec
Zorilor,165000,,False,True,2, 53, 3/8, Dec
Iris,95000,,False,True,1, 36, 10/11, Semidec
Andrei Muresanu,245000,,False,True,3, 89, Parter/3, Semidec
Manastur,137000,,False,True,2, 49, 7/10, Dec
Central,205000,,False,True,2, 58, 1/3, Semidec
Grigorescu,180000,,False,True,3, 57, Parter/4, Dec
Semicentral,130000,,False,True,2, 46, 2/2, Semidec
Andrei Muresanu,117000,,False,True,2, 38, 3/3, Dec
Sopor,153000,,False,True,2, 45, 6/8, Semidec
Manastur,137500,,False,True,2, 50, Parter/2, Semidec
Gheorgheni,190000,Comision 0%,False,True,2, 79.25, 2/4, Semidec
Manastur,105000,,False,True,2, 47, 11/11, Semidec
Manastur,105000,,False,True,2, 46.8, 11/11, Semidec
Marasti,200000,,False,True,3, 67, 3/4, Semidec
Zorilor,216000,,False,True,3, 80, 3/10, Dec
Semicentral,129000,,False,True,1, 47, 3/4, Dec
Semicentral,175000,,False,True,2, 80, Parter/4, Semidec
Semicentral,188600,,True,True,3, 83.5, Parter/6, Semidec
Borhanci,345000,,False,True,5, 200, Parter/3, Semidec
Semicentral,90000,,False,True,1, 36, Parter/2, Dec
Intre Lacuri,199000,,False,True,3, 66, 6/6, Semidec
Zorilor,219000,,False,True,3, 67, 2/4, Dec
Marasti,110000,,False,True,1, 40, 4/4, Semidec
Buna Ziua,590000,,False,True,4, 198, 3/3, Dec
Marasti,145000,,False,True,3, 65, 4/4, Dec
Manastur,105000,,False,True,2, 39, 4/4, Dec
Horea,133000,,False,True,2, 55, Parter/3, Dec
Iris,170500,,False,True,3, 74.93, 6/9, Semidec
Dambul Rotund,126000,,False,True,2, 43, 3/6, Semidec
Borhanci,149000,,False,True,2, 63, Parter/3, Dec
Horea,135000,,False,True,2, 43, 4/5, Semidec
Intre Lacuri,143000,,False,True,2, 50, 4/4, Dec
Zorilor,132980,,False,True,1, 40, 3/4, Dec
Manastur,92900,,False,True,2, 36, 3/4, Semidec
Marasti,238000,,False,True,3, 76, 4/4, Semidec
Iris,166000,,False,True,3, 87, 7/9, Semidec
Borhanci,189700,Comision 0%,True,True,3, 79, 3/3, Semidec
Borhanci,189683,,True,True,3, 78.63, 3/3, Semidec
Manastur,120000,,False,True,2, 52, 9/10, Dec
Marasti,238000,,False,True,3, 76, 4/4, Semidec
Semicentral,138500,Comision 0%,True,True,2, 52.33, 4/6, Semidec
Gheorgheni,165000,,False,True,2, 52, 2/4, Semidec
Gheorgheni,115000,,False,True,2, 39, 5/10, Dec
Iris,179000,,False,True,3, 53, 4/5, Semidec
