Location,Price,Commission,TVA,Rooms,Size,Floor,Composition
Manastur,199000,,False,3,86.0, 7/9, Dec
Marasti,165000,,False,3,72.0, Parter/7, Dec
Dambul Rotund,125000,,False,2,52.0, 5/6, Semidec
Manastur,155000,,False,3,72.0, 4/8, Dec
Iris,126000,,False,2,47.0, 1/2, Semidec
Central,179000,,False,3,55.0, 1/1, Dec
Semicentral,190000,,False,3,72.24, 5/6, Semidec
Marasti,170000,,False,2,58.8, 2/3, Semidec
Europa,287000,,False,4,120.0, Parter, Dec
Gheorgheni,204500,Comision 0%,False,3,65.0, 7/11, Semidec
Central,170000,,False,3,81.0, 1/1, Semidec
Central,187100,,False,4,91.0, 5/6, Semidec
Manastur,180000,Comision 0%,False,3,66.0, 4/8, Semidec
Manastur,98000,,False,2,49.0, 4/4, Semidec
Iris,77135,Comision 0%,False,2,46.71, 3/3, Semidec
Central,139000,,False,1,30.0, 2/3, Semidec
Gheorgheni,105000,,False,1,22.0, 4/6, Semidec
Manastur,111428,,False,2,67.0, 3/4, Semidec
Campului,149999,,False,3,67.0, 6/10, Semidec
Manastur,195000,,False,3,70.0, 4/7, Semidec
Central,175000,,False,3,59.0, 4/4, Semidec
Manastur,185000,,False,3,75.0, 1/3, Dec
Gheorgheni,160000,,False,3,65.06, 8/9, Dec
Horea,128000,,False,2,49.0, 3/4, Dec
Plopilor,175000,,False,3,67.0, Parter/4, Dec
Central,329500,,False,3,103.13, 2/2, Semidec
Marasti,175000,,False,4,84.0, 8/9, Semidec
Central,195600,,False,4,99.9, 1/6, Semidec
Manastur,176000,,False,4,79.0, 1/4, Dec
Manastur,140000,,False,4,65.0, 2/10, Dec
Dambul Rotund,45000,,False,1,21.0, 3/4, Semidec
Gara,155000,,False,3,64.0, 4/5, Semidec
Grigorescu,166000,Comision 0%,False,3,69.0, 4/4, Dec
Dambul Rotund,97000,,False,2,48.0, 4/6, Semidec
Dambul Rotund,119000,,False,2,48.0, 6/6, Semidec
Central,358000,,False,3,108.0, 2/3, Semidec
Iris,124100,Comision 0%,False,3,75.15, 2/3, Semidec
Manastur,235000,,False,4,139.0, 3/3, Semidec
Gheorgheni,97000,,False,3,42.0, 4/4, Semidec
Marasti,51900,,False,1,21.0, Parter/4, Semidec
Central,149900,,False,3,66.0, Parter/4, Dec
Iris,108500,,False,2,40.0, 9/10, Semidec
Grigorescu,140000,,False,4,83.0, 1/2, Semidec
Buna Ziua,297500,Comision 0%,False,3,81.0, 5/5, Dec
Iris,75000,,False,2,42.0, 4/4, Semidec
Manastur,94000,,False,2,50.0, 3/3, Semidec
Manastur,95238,,False,2,58.0, 2/4, Semidec
Europa,143500,,False,2,55.0, 1/3, Semidec
Iris,86614,Comision 0%,False,2,52.45, 1/3, Semidec
Manastur,118900,,False,2,54.0, 1/3, Dec
