Location,Price,Commission,TVA,Rooms,Size,Floor,Composition
Dambul Rotund,117000,,False,2,45.0, 5/6, Semidec
Marasti,165500,,True,3,73.64, 2/9, Semidec
Iris,165500,,True,3,73.64, 4/9, Dec
Iris,265000,,False,3,70.0, 5/6, Semidec
Central,499000,,False,6,145.0, 1/1, Dec
Manastur,158000,,False,4,76.0, 8/8, Dec
Manastur,94500,,False,2,33.0, 3, Semidec
Gheorgheni,103000,,False,1,32.0, 1/7, Dec
Dambul Rotund,105000,,False,2,40.0, 1/2, Dec
Zorilor,169000,,False,3,80.0, Ultimele 2 e/4, Semidec
Grigorescu,125000,,False,2,47.0, 3/4, Semidec
Marasti,183000,,False,3,73.0, 6/7, Dec
Gheorgheni,178500,,False,2,51.0, 1/10, Semidec
Marasti,170000,,False,3,64.5, 4/4, Dec
Gheorgheni,160000,,True,2,58.0, 2/5, Semidec
Central,128500,,False,1,47.0, 5/10, Semidec
Iris,195000,,False,5,135.0, 2/2, Semidec
Central,128000,,False,2,49.0, 3/4, Dec
Iris,119999,Comision 0%,True,2,55.04, 4/4, Semidec
Manastur,137500,,False,2,50.0, Parter/2, Semidec
Europa,204000,,False,2,68.0, 3/4, Semidec
Manastur,119000,,False,2,51.0, 3/10, Dec
Borhanci,180651,,False,3,78.63, 3/3, Semidec
Dambul Rotund,116500,,False,3,48.66, Parter/3, Semidec
Intre Lacuri,108000,,False,2,53.0, 2/6, Semidec
Plopilor,164000,,False,2,50.0, 2/4, Semidec
Gheorgheni,180000,,False,2,52.5, 4/10, Semidec
Plopilor,193000,Comision 0%,False,2,54.0, Parter/3, Dec
P-ta Mihai Viteazul,339000,,False,2,90.0, 1/1, Dec
Grigorescu,250000,,False,4,79.0, 2/4, Dec
Marasti,170000,,False,2,58.8, 2/3, Semidec
Marasti,180000,,False,3,72.0, 6/7, Dec
Central,118000,,False,1,38.0, 2/2, Dec
Central,180000,,False,2,59.0, 6/23, Semidec
Central,180000,,False,2,60.0, 6/23, Semidec
Manastur,116000,,False,2,42.0, 10/10, Dec
Europa,165000,,False,3,63.03, Parter/4, Dec
Gheorgheni,180000,,False,3,62.0, 3/4, Dec
Dambul Rotund,186000,,False,3,92.0, 1/7, Semidec
Dambul Rotund,133000,,False,2,48.0, 6/6, Semidec
Dambul Rotund,133000,,False,2,48.0, 6/6, Semidec
Manastur,156000,,False,3,61.0, 2/9, Dec
Manastur,152980,,False,3,65.45, 4/4, Dec
Zorilor,140000,,False,2,55.0, Parter/2, Semidec
Dambul Rotund,125000,,False,2,57.0, 4/6, Semidec
Iris,150000,,False,2,53.2, 1/5, Semidec
Buna Ziua,155000,,False,2,52.0, 1/6, Semidec
Sopor,200000,,False,2,55.0, 7/10, Semidec
Iris,115000,,False,2,44.0, 3/4, Semidec
Dambul Rotund,117000,,False,2,41.5, 5/6, Semidec
Dambul Rotund,115000,,False,1,37.0, 1/7, Semidec
Zorilor,189000,Comision 0%,False,2,60.0, 7/14, Dec
Zorilor,159000,,False,3,65.0, Parter/10, Dec
Manastur,94900,,False,1,35.0, 2/4, Dec
Manastur,157999,,False,4,76.0, 8/8, Dec
Manastur,158000,,False,4,74.0, 8/8, Dec
Campului,158000,,False,4,75.0, 8/8, Dec
Manastur,143000,,False,3,67.0, Parter/4, Dec
Manastur,143000,,False,3,67.0, Parter/4, Dec
Manastur,165000,,False,4,78.0, 4/4, Semidec
Grigorescu,132000,,False,2,50.0, 4/10, Dec
Grigorescu,138000,,False,3,65.0, Parter/4, Dec
Central,299900,,False,2,58.0, 1/4, Semidec
Iris,114500,Comision 0%,False,2,65.0, 1/2, Dec
Marasti,170000,,False,3,65.0, Parter/4, Dec
Dambul Rotund,112000,,False,2,45.0, 5/6, Dec
Manastur,100000,,False,1,40.0, Parter/10, Semidec
Grigorescu,159000,,False,3,66.0, 9/9, Dec
Manastur,128000,Comision 0%,False,2,45.0, 7/10, Semidec
Dambul Rotund,107800,,False,2,50.28, Parter/6, Semidec
Central,162000,,False,2,54.0, 3/6, Semidec
Ultracentral,177000,,False,3,93.0, Demisol, Dec
Borhanci,154000,,False,2,56.0, 1/3, Dec
Manastur,105000,,False,2,54.0, 11/11, Semidec
Manastur,105000,,False,2,46.8, 11/11, Semidec
Intre Lacuri,165000,,False,3,64.0, Parter/4, Dec
Gruia,34900,,False,1,11.0, 1/4, Semidec
Marasti,180880,,False,3,80.4, 4/10, Dec
Marasti,95000,,False,2,55.0, Demisol, Dec
Semicentral,155000,,False,2,60.0, 2/6, Semidec
Andrei Muresanu,265000,Comision 0%,False,3,89.0, Parter/3, Semidec
Iris,97500,,False,1,39.0, Parter/4, Dec
Intre Lacuri,113830,Comision 0%,True,2,53.91, 2/6, Semidec
Grigorescu,575000,,False,5,200.0, 1/2, Semidec
Manastur,177000,,False,3,80.0, 8/8, Dec
Manastur,105000,,False,2,52.0, 10/10, Dec
Zorilor,224000,,False,3,75.0, 5/8, Dec
Marasti,178000,,False,2,50.0, 1/4, Dec
Grigorescu,245000,,False,4,96.0, 3/4, Dec
Central,145000,,False,2,46.0, 2/3, Semidec
Intre Lacuri,143000,,False,2,51.0, 4/4, Dec
Gheorgheni,125900,,False,2,45.0, Parter/10, Semidec
Gheorgheni,167000,,False,3,54.0, Mansarda/5, Semidec
Manastur,115980,,False,2,52.0, 3/8, Circular]
Sopor,185000,,False,3,74.0, 1/8, Semidec
Central,390000,,False,4,128.6, 1/1, Dec
Gheorgheni,180000,,False,3,62.0, 3/4, Dec
Dambul Rotund,125000,,False,2,48.0, 6/6, Semidec
Central,100000,,False,1,30.0, 2/2, Dec
Manastur,156000,,False,3,61.0, 2/9, Dec
Dambul Rotund,95000,,False,3,48.0, 4/4, Semidec
Manastur,97000,Comision 0%,False,3,43.0, Parter/4, Semidec
Andrei Muresanu,245000,,False,3,91.0, Parter/2, Semidec
Dambul Rotund,119000,,False,2,48.0, 6/6, Semidec
Manastur,165000,,False,4,73.0, 3/4, Semidec
Dambul Rotund,116990,,False,2,45.0, 4/5, Semidec
Borhanci,183291,,True,3,79.59, 3/3, Semidec
Borhanci,150000,,False,2,56.0, Parter/3, Semidec
Manastur,252000,,False,4,83.0, 5/10, Semidec
Manastur,143000,,False,3,67.0, Parter/4, Dec
Manastur,122000,,False,2,52.0, 3/10, Dec
Marasti,115000,,False,1,36.0, 8/8, Dec
Manastur,165000,,False,4,73.0, 3/4, Semidec
Manastur,154000,,False,3,61.0, 2/8, Dec
Iris,159000,,False,2,55.0, 2/8, Semidec
Manastur,125000,,False,2,45.0, 3/8, Dec
Manastur,126000,,False,2,50.0, 5/10, Dec
Gheorgheni,135000,,False,2,43.0, 8/10, Semidec
Gheorgheni,135000,,False,2,42.0, 8/10, Semidec
Zorilor,220000,,False,3,100.0, 1/4, Dec
Aurel Vlaicu,127000,,False,2,52.0, Parter/4, Semidec
Gheorgheni,154000,,False,3,63.0, Parter/4, Nedec
Manastur,122500,,False,2,48.0, 9/10, Semidec
Gheorgheni,299000,,False,3,114.0, 1/8, Dec
Semicentral,130760,Comision 0%,True,1,46.7, 5/6, Semidec
Central,145000,,False,1,39.0, 1/3, Semidec
Semicentral,150000,,False,2,59.85, 8/22, Semidec
Bulgaria,275000,,False,3,122.0, 2/7, Semidec
Dambul Rotund,135000,,False,2,47.0, 1/5, Semidec
Grigorescu,231500,,False,3,85.74, 2/3, Semidec
Central,128000,,False,2,49.0, 1/4, Dec
Marasti,64500,,False,1,22.0, 1/4, Semidec
Sopor,185000,,False,3,74.0, 1/7, Dec
Sopor,190000,,False,2,80.0, 2/4, Semidec
Manastur,105000,,False,2,52.0, 11/11, Semidec
Gheorgheni,169000,,False,2,60.0, 8/8, Dec
Central,199000,,False,2,70.0, 1/6, Semidec
Marasti,137000,,False,2,40.0, 5/6, Semidec
Manastur,72900,,False,1,27.0, Parter/8, Dec
Iris,110000,,False,2,38.8, 3/6, Dec
Sopor,365000,Comision 0%,False,4,111.5, 6/7, Semidec
Gheorgheni,179000,,True,3,66.0, 6/7, Semidec
Zorilor,219000,,False,3,67.0, 2/4, Dec
Marasti,115000,,False,2,42.0, Parter/10, Semidec
Marasti,164400,,False,2,54.8, 6/6, Semidec
Gheorgheni,130000,,False,2,42.0, 8/10, Semidec
Manastur,118000,,False,2,48.0, 9/10, Semidec
Buna Ziua,255000,,False,3,110.0, 1/3, Dec
Manastur,90000,,False,2,35.0, 3/4, Semidec
Zorilor,125000,,False,1,37.0, 2/4, Dec
Marasti,282500,,False,3,75.0, 4/6, Semidec
Gheorgheni,125000,,False,2,50.82, Parter/4, Semidec
Ultracentral,240000,,False,2,81.0, 1/2, Semidec
Europa,148000,,False,2,58.0, 3/5, Dec
Manastur,99750,,False,2,35.0, Parter/8, Dec
Manastur,97000,,False,3,43.0, Parter/4, Semidec
Manastur,120000,,False,2,52.0, 10/10, Dec
Grigorescu,198720,,False,3,69.0, 1/10, Semidec
Iris,165500,,True,3,73.64, 5/9, Dec
Buna Ziua,205000,,False,3,110.0, 1/3, Dec
Central,345000,,False,3,81.0, 1/4, Dec
Marasti,142000,,False,2,44.0, 4/4, Dec
Intre Lacuri,127000,,False,2,49.5, 4/4, Dec
Gara,119000,,False,3,54.0, 1/5, Dec
Iris,165000,,False,3,63.0, 6/9, Semidec
Iris,165000,,False,3,79.0, Mansarda/7, Semidec
Iris,164999,,False,3,63.0, 6/9, Semidec
Manastur,94980,,False,2,50.0, Parter/3, Semidec
Gheorgheni,239000,,False,3,60.0, 5/7, Dec
Zorilor,200000,,False,3,64.0, 3/4, Dec
Borhanci,245000,,False,3,70.0, 2/2, Dec
Zorilor,160000,,False,2,56.0, 1/4, Dec
Manastur,79000,,False,2,36.0, 4/4, Semidec
Central,178000,,False,2,50.0, 1/4, Semidec
Manastur,99900,,False,2,38.0, Parter/8, Semidec
Zorilor,235000,,False,3,98.0, 3/4, Dec
Gheorgheni,135000,,False,2,42.0, 8/10, Semidec
Gheorgheni,135000,,False,2,43.0, 8/10, Semidec
Gheorgheni,135000,,False,2,44.0, Parter/10, Semidec
Plopilor,205000,,False,2,51.0, 1, Dec
Manastur,110900,,False,2,55.0, 5/8, Semidec
Grigorescu,170600,,False,3,60.0, 9/9, Semidec
Intre Lacuri,110000,,False,2,54.5, Parter/4, Dec
Gheorgheni,190000,,False,2,80.0, 2/4, Semidec
Manastur,205000,,False,4,100.0, 1/8, Dec
Gheorgheni,102600,,False,1,40.0, 3/7, Semidec
Gheorgheni,230000,,False,3,67.0, 2/10, Dec
Central,380000,,False,4,85.0, Parter/3, Semidec
Iris,54000,,False,1,21.0, 1/4, Dec
Manastur,69000,,False,1,28.8, 1/10, Semidec
Intre Lacuri,199000,,False,3,66.0, 6/6, Dec
Intre Lacuri,127575,Comision 0%,True,2,58.0, 3/6, Dec
Iris,99000,,False,2,42.0, 2/6, Semidec
Central,129500,,True,1,37.0, 2/5, Semidec
Andrei Muresanu,244000,,False,3,89.0, Parter/3, Semidec
Semicentral,137300,,False,2,59.0, Parter/6, Semidec
Gheorgheni,165000,,False,2,52.0, 2/4, Semidec
Dambul Rotund,133000,,False,2,48.0, 6/6, Semidec
Borhanci,189000,,True,3,79.0, 3/3, Semidec
Borhanci,105000,,False,1,35.0, 1/4, Semidec
Manastur,170000,Comision 0%,False,3,76.31, 3/3, Semidec
Grigorescu,143000,,False,2,50.0, 10/10, Circular]
Grigorescu,239000,,False,3,78.0, 2/2, Semidec
Semicentral,140000,,False,2,47.0, 4/4, Dec
Semicentral,110000,,False,1,45.0, Parter/1, Nedec
Manastur,99000,,False,3,43.0, Parter/4, Semidec
Gheorgheni,185000,,False,3,74.0, 1/6, Semidec
Semicentral,325000,Comision 0%,False,3,154.0, 2/3, Dec
Gheorgheni,77000,,False,1,27.5, 4/4, Dec
Borhanci,195000,,False,3,61.0, Parter/3, Semidec
Marasti,145000,,False,3,65.0, 8/8, Semidec
Iris,165000,,False,3,63.0, 6, Semidec
Iris,165000,,False,3,90.0, 7/7, Dec
Grigorescu,115000,,False,2,48.0, 4/4, Dec
Intre Lacuri,161155,Comision 0%,True,3,75.0, 2/6, Dec
Central,137500,,False,2,50.0, Demisol/3, Semidec
Manastur,99900,,False,1,31.0, Parter/8, Dec
Semicentral,144400,,False,2,66.0, 1/6, Semidec
Borhanci,168000,,False,2,55.0, 1/2, Dec
Gheorgheni,135000,,False,2,43.0, 8/8, Dec
Gheorgheni,135000,,False,2,45.0, 8/10, Semidec
Zorilor,165000,,False,2,53.0, 3/8, Dec
Iris,95000,,False,1,36.0, 10/11, Semidec
Central,205000,,False,2,58.0, 1/3, Semidec
Grigorescu,180000,,False,3,57.0, Parter/4, Dec
Semicentral,130000,,False,2,46.0, 2/2, Semidec
Sopor,153000,,False,2,45.0, 6/8, Semidec
Manastur,137500,,False,2,50.0, Parter/2, Semidec
Gheorgheni,190000,Comision 0%,False,2,79.25, 2/4, Semidec
Manastur,105000,,False,2,46.8, 11/11, Semidec
Zorilor,216000,,False,3,80.0, 3/10, Dec
Semicentral,129000,,False,1,47.0, 3/4, Dec
Semicentral,175000,,False,2,80.0, Parter/4, Semidec
Semicentral,188600,,True,3,83.5, Parter/6, Semidec
Semicentral,90000,,False,1,36.0, Parter/2, Dec
Intre Lacuri,199000,,False,3,66.0, 6/6, Semidec
Marasti,110000,,False,1,40.0, 4/4, Semidec
Marasti,145000,,False,3,65.0, 4/4, Dec
Iris,170500,,False,3,74.93, 6/9, Semidec
Borhanci,149000,,False,2,63.0, Parter/3, Dec
Intre Lacuri,143000,,False,2,50.0, 4/4, Dec
Zorilor,132980,,False,1,40.0, 3/4, Dec
Manastur,92900,,False,2,36.0, 3/4, Semidec
Marasti,238000,,False,3,76.0, 4/4, Semidec
Iris,166000,,False,3,87.0, 7/9, Semidec
Borhanci,189700,Comision 0%,True,3,79.0, 3/3, Semidec
Manastur,120000,,False,2,52.0, 9/10, Dec
Marasti,238000,,False,3,76.0, 4/4, Semidec
Semicentral,138500,Comision 0%,True,2,52.33, 4/6, Semidec
Gheorgheni,165000,,False,2,52.0, 2/4, Semidec
Iris,179000,,False,3,53.0, 4/5, Semidec
Dambul Rotund,96000,,False,2,49.0, 2/5, Semidec
Marasti,245000,,False,2,56.0, 1/3, Dec
Manastur,143000,,False,3,67.0, Parter/4, Dec
Manastur,103000,,False,3,47.0, 4/4, Semidec
Manastur,215000,,False,4,100.0, Parter/1, Semidec
Buna Ziua,140000,,False,2,43.0, 2/2, Semidec
Manastur,139000,,False,3,82.0, 5/5, Semidec
Central,299000,,False,3,85.0, 1/3, Dec
Manastur,143000,,False,3,67.0, Parter, Dec
Manastur,143000,,False,3,67.0, Parter/4, Dec
Central,179900,,False,4,89.67, 4/6, Semidec
Marasti,125000,,False,1,37.0, 1/1, Semidec
Manastur,100000,,False,1,40.0, Parter/10, Semidec
Gheorgheni,167000,,False,2,55.0, 1, Dec
Manastur,125000,,False,2,51.0, 3/10, Dec
Manastur,150000,,False,3,70.0, 4/4, Dec
Grigorescu,165000,,False,2,48.0, Parter/1, Semidec
Intre Lacuri,164275,Comision 0%,True,3,73.0, 1/6, Dec
Gheorgheni,185000,,False,3,61.0, 1/4, Dec
Sopor,180000,,False,2,52.0, 4/10, Semidec
Andrei Muresanu,184600,,True,3,71.0, 2/4, Semidec
Grigorescu,170000,,False,3,69.0, 9/9, Semidec
Grigorescu,170600,,False,3,70.0, 9/9, Dec
Horea,119000,,False,2,53.0, 4/4, Semidec
Intre Lacuri,108000,,True,2,55.0, 2/6, Semidec
Zorilor,143000,,False,3,64.0, Parter/4, Dec
Sopor,184500,,False,3,73.43, 2/6, Semidec
Dambul Rotund,99000,,False,2,46.3, 6/6, Semidec
Europa,204000,,True,2,68.0, 3/3, Semidec
Semicentral,188000,,False,3,60.0, Parter/1, Dec
Manastur,150000,,False,3,66.0, 4/4, Dec
Iris,180000,,False,2,54.0, 3/10, Semidec
Zorilor,230000,,False,4,97.0, 9/10, Dec
Manastur,105000,,False,2,52.0, 11/11, Semidec
Manastur,105000,,False,2,52.0, 11/11, Dec
Buna Ziua,148500,,False,2,58.0, 2/3, Dec
Semicentral,138500,,True,2,52.0, 4/6, Semidec
Manastur,133000,,False,2,52.0, 9/10, Circular]
Gheorgheni,165000,,False,3,63.0, 2/4, Semidec
Semicentral,134200,,False,2,52.0, Parter/6, Semidec
Marasti,145000,,False,3,65.0, 4/4, Dec
Marasti,145000,,False,3,65.0, 4/4, Dec
Zorilor,220000,,False,4,78.0, 1/4, Dec
Central,274000,,False,2,79.11, Parter/1, Semidec
Marasti,130000,,False,2,55.0, 8/9, Dec
Marasti,115000,,False,1,38.0, Parter/8, Dec
Marasti,115000,,False,2,41.5, Parter/10, Semidec
Manastur,110000,,False,4,54.0, 4/4, Semidec
Manastur,110000,,False,3,54.0, 4/4, Semidec
Gheorgheni,129900,,False,2,44.0, 8/10, Semidec
Gheorgheni,130000,,False,3,63.0, 5/5, Dec
Manastur,85000,,False,1,37.0, 1/3, Dec
Semicentral,139899,,True,2,52.17, 1/7, Semidec
Marasti,145000,,False,3,65.0, 4/4, Dec
Marasti,225000,,False,3,71.0, 3/4, Semidec
Iris,159000,,False,3,62.0, 8/9, Semidec
Manastur,97000,,False,3,43.0, Parter/4, Semidec
Iris,43000,,False,1,28.0, Parter/4, Dec
Bulgaria,240000,,False,3,76.0, 4/4, Semidec
Marasti,176000,,False,2,52.0, 1/3, Semidec
Semicentral,140000,,False,1,40.8, Parter/5, Dec
Marasti,245000,,False,2,56.0, 1/3, Dec
Dambul Rotund,109200,,False,2,52.0, Parter/6, Semidec
Gara,137600,,True,2,53.0, Parter/6, Semidec
Iris,167500,,False,2,50.0, 4/4, Semidec
Manastur,103000,,False,3,47.0, 4/4, Semidec
Buna Ziua,159000,,False,2,51.61, 1/9, Semidec
Gara,137100,,True,2,58.7, 2/6, Semidec
Iris,110000,,False,1,39.0, 3/5, Dec
Intre Lacuri,130000,,False,2,49.0, 4, Dec
Borhanci,227310,,True,3,97.59, 3/3, Semidec
Manastur,143000,,False,3,67.0, Parter/4, Dec
Manastur,95000,,False,2,43.0, Parter/2, Semidec
Grigorescu,115000,,False,2,48.0, 4/4, Semidec
Manastur,122000,,False,2,51.0, 3/10, Dec
Gheorgheni,119000,,False,2,50.0, Demisol, Semidec
Semicentral,125700,Comision 0%,True,1,39.63, 6/6, Semidec
Central,169000,,False,2,63.0, 2/4, Dec
Borhanci,175000,,False,2,64.0, 1/2, Semidec
Central,260000,,False,4,85.3, 2/2, Dec
Dambul Rotund,95000,,False,1,43.0, 6/6, Dec
Manastur,132000,,False,2,62.0, 10/12, Semidec
Grigorescu,128000,,False,2,56.0, Parter/1, Dec
Manastur,99000,,False,2,54.0, Parter/10, Dec
Manastur,113000,,False,2,46.0, 7/8, Dec
Central,182000,,False,2,58.0, 5/6, Semidec
Iris,154000,,False,2,55.0, 2/8, Semidec
Dambul Rotund,116000,Comision 0%,False,2,45.0, 2/6, Semidec
Grigorescu,170669,,False,3,60.0, 9/10, Dec
Iris,165000,,False,3,74.71, 1/5, Semidec
Iris,155000,,False,3,62.2, 8/9, Semidec
Central,170000,,False,2,59.0, Parter/1, Semidec
Europa,243000,,True,3,98.0, 1/3, Semidec
Marasti,155000,,False,2,54.0, Parter/4, Dec
Manastur,128000,,False,2,49.1, 7/10, Semidec
Gruia,188000,,False,2,80.0, Parter/4, Dec
Manastur,127000,Comision 0%,True,1,48.32, 14/25, Semidec
Iris,163000,,False,3,63.0, 3/7, Semidec
Gara,150800,,True,2,60.0, 4/6, Semidec
Gara,134000,Comision 0%,True,2,54.31, 4/6, Semidec
Manastur,111000,Comision 0%,True,1,44.88, 6/25, Semidec
Manastur,112900,,False,2,58.0, Parter/3, Semidec
Marasti,115000,,False,2,41.0, Parter/10, Semidec
Marasti,164000,,False,2,82.0, 3/3, Semidec
Gheorgheni,135000,,False,2,44.0, 8/10, Semidec
Manastur,118000,,False,2,54.0, Parter/10, Semidec
Manastur,118000,,False,2,44.0, 4/8, Dec
Grigorescu,150000,,False,3,55.0, 4, Semidec
Zorilor,140000,,False,2,44.0, 1/4, Dec
Manastur,139900,,False,2,51.5, 1/8, Dec
Central,50000,,False,1,15.0, Demisol, Semidec
Grigorescu,97550,,True,1,36.14, 1/4, Semidec
Buna Ziua,150000,,False,3,60.0, Mansarda/3, Semidec
Semicentral,145700,Comision 0%,True,2,60.14, 3/6, Semidec
Zorilor,175000,,False,2,58.0, 13/14, Semidec
Gheorgheni,183000,,False,3,62.0, 3/4, Dec
Iris,163000,,False,3,63.0, 3/7, Semidec
Iris,295000,,False,3,66.0, 6/6, Semidec
Dambul Rotund,91000,,False,2,42.5, 6/6, Semidec
Manastur,158000,,False,3,67.0, 1/5, Semidec
Marasti,185000,,False,3,72.0, 6/7, Dec
Gheorgheni,145000,,False,3,56.0, Parter/3, Dec
Gheorgheni,145000,,False,2,45.0, 10/10, Semidec
Iris,224500,,True,4,99.91, 6/9, Semidec
Semicentral,143500,Comision 0%,True,2,58.9, 5/6, Semidec
Manastur,129000,,False,2,46.0, 3/4, Semidec
Manastur,145000,,False,3,66.96, 4/4, Dec
Marasti,151000,,False,2,47.0, 3/4, Dec
Gheorgheni,150000,,False,3,65.0, 4/4, Dec
Sopor,185000,,False,3,74.0, 1/7, Dec
Zorilor,125000,,False,1,36.0, 2/4, Dec
Dambul Rotund,115000,,False,2,45.0, Parter/6, Semidec
Intre Lacuri,126000,,False,2,50.0, 4/4, Dec
Iris,165500,,False,3,73.62, 1/9, Semidec
Andrei Muresanu,480000,,False,4,170.0, 3/4, Dec
Intre Lacuri,127000,,False,2,49.0, 4/4, Dec
Central,185000,,False,3,72.0, 6/6, Semidec
Central,299000,,False,3,85.0, 1/3, Dec
Marasti,115000,,False,1,36.0, 8/8, Dec
Central,225000,,False,2,70.0, 2/2, Dec
Semicentral,293500,,False,3,84.0, 6/6, Semidec
Central,349000,,False,3,95.0, 2/3, Dec
Marasti,168000,,False,3,66.0, Parter/4, Dec
Iris,141427,,True,2,46.79, 1/4, Dec
Iris,154000,Comision 0%,False,3,62.0, 8/9, Semidec
Gheorgheni,120000,,False,2,50.0, Parter/10, Dec
Marasti,170000,,False,3,74.0, 8/8, Dec
Zorilor,220000,,False,3,72.0, 5/8, Dec
Marasti,180000,,False,3,63.0, 2/4, Semidec
Gheorgheni,158000,,False,3,60.0, 2/4, Semidec
Dambul Rotund,95000,,False,2,43.0, 6/6, Semidec
Gheorgheni,179800,,False,3,70.0, 2/4, Semidec
Zorilor,149999,,False,3,52.0, Parter/4, Dec
Manastur,140000,,False,3,68.0, Parter/4, Dec
Borhanci,192000,,True,3,79.0, 3/3, Semidec
Central,95000,,False,2,65.0, Demisol/3, Semidec
Plopilor,160000,,False,3,65.0, 4/4, Dec
Marasti,238000,,False,3,74.0, Parter/7, Dec
Manastur,103000,,False,2,50.0, Parter/10, Dec
Dambul Rotund,128000,,False,2,57.0, Parter/6, Semidec
Buna Ziua,115000,,False,2,46.0, Parter/2, Semidec
Marasti,170000,,False,3,63.0, Parter/4, Dec
Central,265000,,False,2,50.0, 1/1, Semidec
Borhanci,189684,,True,3,78.63, 3/3, Dec
Dambul Rotund,110000,,False,2,45.0, 5/6, Semidec
Manastur,96000,,False,2,35.0, 2/4, Semidec
Manastur,182000,,False,3,84.0, 4/4, Semidec
Marasti,240000,,False,3,76.0, 4/4, Semidec
Central,134999,,False,1,35.0, 3, Dec
Marasti,115000,,False,2,42.0, Parter/10, Dec
Manastur,109900,,False,4,54.0, 4/4, Dec
Grigorescu,250000,,False,2,80.0, 2/4, Dec
Grigorescu,249890,,False,4,80.0, 3/4, Dec
Gheorgheni,159900,,False,3,57.0, 4/4, Semidec
Dambul Rotund,115000,,False,3,64.0, 5/6, Semidec
Marasti,225000,,False,3,71.0, 3/4, Semidec
Manastur,85000,,False,1,39.0, 3/4, Semidec
Manastur,140000,,False,3,65.0, 4/4, Semidec
Central,274000,,False,3,78.0, Parter/1, Dec
Dambul Rotund,117000,,False,2,57.0, 1/5, Semidec
Iris,163000,,False,3,63.0, 3/7, Semidec
Central,180000,,False,2,59.0, Parter/1, Semidec
Zorilor,398000,,False,4,105.0, 6/6, Semidec
Iris,159000,,False,3,62.0, 8/9, Semidec
Central,340000,,False,4,99.0, 2/4, Semidec
Central,320000,,False,2,90.0, Parter, Semidec
Manastur,120000,,False,2,48.0, 3/10, Dec
Central,74800,,False,1,25.0, Parter, Semidec
Manastur,139800,,False,3,65.0, 4/4, Dec
Gheorgheni,145000,,False,3,65.0, 4/4, Dec
Gheorgheni,145000,,False,3,60.0, 4/4, Dec
Manastur,125000,,False,2,49.0, 7/10, Dec
Plopilor,213000,,False,3,74.0, 6, Dec
Semicentral,245000,,False,2,56.0, 1/3, Dec
Grigorescu,119000,,False,3,65.0, Parter/10, Dec
Zorilor,145000,,False,2,44.0, Parter/6, Dec
Dambul Rotund,96750,,False,2,52.3, 1/6, Semidec
Grigorescu,176000,,False,2,65.0, 3/4, Dec
Buna Ziua,144500,,False,1,45.0, 1/3, Semidec
Marasti,370000,,False,3,110.0, 11/11, Semidec
Manastur,155000,,False,3,65.0, 4, Dec
Manastur,130000,,False,3,60.0, 1/1, Semidec
Central,159000,,True,2,52.48, 1/5, Semidec
Europa,225000,,False,4,81.0, Parter/2, Dec
Intre Lacuri,149170,,False,3,75.1, 5/6, Dec
Manastur,115000,Comision 0%,False,2,54.0, Parter/8, Dec
Marasti,170000,,False,3,72.0, Parter/4, Dec
Marasti,145999,,False,3,64.0, 7/7, Dec
Zorilor,285000,,False,3,80.0, 5/12, Semidec
P-ta Mihai Viteazul,169000,,False,2,54.0, Parter/2, Dec
Gara,170500,,False,3,77.5, 5/6, Semidec
Gheorgheni,125000,,False,2,48.0, 6/8, Semidec
Gheorgheni,148000,,False,3,58.0, 4/4, Dec
Marasti,180000,,False,4,78.0, 2/4, Dec
Buna Ziua,155000,,False,2,52.0, 1/6, Dec
Manastur,118000,,False,2,54.0, Parter/10, Semidec
Gheorgheni,143000,,False,3,59.0, 3/4, Semidec
Marasti,180000,,False,2,52.0, Parter/4, Dec
Europa,148000,,False,2,58.0, 4, Dec
Marasti,89000,,False,1,30.0, 2/4, Dec
Manastur,108000,,False,3,48.0, 4/4, Semidec
Marasti,130000,,False,2,52.0, Parter/4, Semidec
Dambul Rotund,102000,,False,2,46.0, 6/6, Nedec
Gheorgheni,119990,,False,3,63.0, 5/5, Semidec
Intre Lacuri,168000,,False,3,68.0, Parter/4, Dec
Iris,180000,,False,3,55.0, 3/10, Semidec
Marasti,134999,,False,3,65.0, 4/4, Dec
Iris,172000,,False,3,90.0, 7/7, Semidec
Central,300000,,False,4,100.0, Parter/1, Dec
Central,299000,,False,3,80.0, 1/3, Semidec
Dambul Rotund,99800,,False,2,53.0, 5, Semidec
Europa,168000,,False,2,54.0, 4/10, Semidec
Dambul Rotund,125000,,False,2,57.0, 4/6, Semidec
Iris,125000,,False,2,42.0, 3/3, Dec
Marasti,238000,,True,3,76.0, 2/11, Dec
Central,185000,,False,2,58.0, 5/6, Semidec
Gheorgheni,144500,,False,3,60.0, 4/4, Dec
Gheorgheni,145000,,False,3,55.0, Parter/3, Dec
Gheorgheni,145000,,False,3,58.0, 4/4, Semidec
Manastur,217990,Comision 0%,False,3,100.0, 1/2, Semidec
Manastur,155000,,False,2,56.0, 5/10, Dec
Iris,151200,,False,2,59.0, 1/2, Semidec
Marasti,239990,,False,3,76.0, 4/4, Semidec
Zorilor,125000,,False,1,38.0, 1/5, Semidec
Marasti,134900,,False,3,53.0, 4/5, Semidec
Intre Lacuri,166900,,False,3,88.2, 5/6, Semidec
Borhanci,175000,,False,2,64.0, 1/2, Dec
Zorilor,295000,,False,3,81.35, Parter/10, Dec
